,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
394,Nathanael Mbuku,fr FRA,"MF,FW",Reims,18,2002,32,28,"2,210",24.6,4,1,4,0,0,3,0,0.16,0.04,0.20,0.16,0.20,3.3,3.3,2.5,5.8,0.14,0.10,0.24,0.14,0.24,Matches,2020-2021
395,Facundo Medina,ar ARG,DF,Lens,21,1999,24,23,"2,007",22.3,2,0,2,0,0,11,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.3,1.2,0.04,0.02,0.05,0.04,0.05,Matches,2020-2021
396,Farid El Melali,dz ALG,"FW,MF",Angers,23,1997,17,4,414,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.1,1.4,0.30,0.02,0.31,0.30,0.31,Matches,2020-2021
397,Birger Meling,no NOR,DF,Nîmes,25,1994,26,26,"2,328",25.9,2,3,2,0,0,4,0,0.08,0.12,0.19,0.08,0.19,0.8,0.8,2.5,3.3,0.03,0.10,0.13,0.03,0.13,Matches,2020-2021
398,Houboulang Mendes,fr FRA,DF,Lorient,22,1998,17,15,"1,297",14.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches,2020-2021
399,Pedro Mendes,pt POR,DF,Montpellier,29,1990,22,19,"1,626",18.1,2,0,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,0.9,0.9,0.2,1.1,0.05,0.01,0.06,0.05,0.06,Matches,2020-2021
400,Thiago Mendes,br BRA,MF,Lyon,28,1992,32,23,"2,243",24.9,0,1,0,0,0,5,1,0.00,0.04,0.04,0.00,0.04,1.6,1.6,1.6,3.2,0.07,0.06,0.13,0.07,0.13,Matches,2020-2021
401,Batista Mendy,fr FRA,MF,Nantes,20,2000,2,0,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
402,Edouard Mendy,sn SEN,GK,Rennes,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches,2020-2021
403,Mexer,mz MOZ,DF,Bordeaux,31,1988,9,8,712,7.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,2020-2021
404,Clément Michelin,fr FRA,DF,Lens,23,1997,26,13,"1,154",12.8,0,4,0,0,0,3,2,0.00,0.31,0.31,0.00,0.31,0.3,0.3,3.2,3.5,0.03,0.25,0.27,0.03,0.27,Matches,2020-2021
405,Edouard Michut,fr FRA,MF,Paris S-G,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
406,Florian Miguel,fr FRA,DF,Nîmes,23,1996,21,18,"1,538",17.1,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.1,1.3,0.07,0.00,0.08,0.07,0.08,Matches,2020-2021
