,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
132,Fernando D'Amico,ar ARG,MF,Lille,26,1975,23,23,"1,978",22.0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
133,Frédéric Da Rocha,fr FRA,MF,Nantes,26,1974,28,21,"1,938",21.5,1,4,1,0,1,3,0,0.05,0.19,0.23,0.05,0.23,Matches,2001-2002
134,Omar Daf,sn SEN,DF,Sochaux,24,1977,27,26,"2,297",25.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
135,Karim Dahou,fr FRA,MF,Marseille,19,1982,6,0,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
136,Wilfried Dalmat,mf SMN,"FW,MF",Marseille,19,1982,11,5,493,5.5,1,,1,0,0,3,0,0.18,,,0.18,,Matches,2001-2002
137,Wilfried Dalmat,mf SMN,"FW,MF",Nantes,19,1982,9,3,304,3.4,0,,0,0,0,0,0,0.00,,,0.00,,Matches,2001-2002
138,Gaël Danic,fr FRA,MF,Rennes,19,1981,12,5,520,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
139,Frédéric Danjou,fr FRA,DF,Troyes,26,1974,22,22,"1,791",19.9,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
140,Jean-Claude Darcheville,fr FRA,FW,Lorient,26,1975,32,31,"2,683",29.8,19,3,16,3,3,4,1,0.64,0.10,0.74,0.54,0.64,Matches,2001-2002
141,Prince Daye,lr LBR,FW,Bastia,23,1978,13,4,597,6.6,1,2,1,0,1,1,0,0.15,0.30,0.45,0.15,0.45,Matches,2001-2002
142,Fabien Debec,fr FRA,GK,Rennes,25,1976,8,7,630,7.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
143,Mickaël Debève,fr FRA,MF,Lens,30,1970,6,1,166,1.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
144,Pierre Deblock,fr FRA,MF,Bastia,28,1973,13,11,805,8.9,1,1,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches,2001-2002
145,Éric Deflandre,be BEL,DF,Lyon,27,1973,21,20,"1,816",20.2,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,2001-2002
146,Christophe Deguerville,fr FRA,DF,Bastia,31,1970,19,18,"1,565",17.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
147,Frédéric Déhu,fr FRA,"DF,MF",Paris S-G,28,1972,29,29,"2,448",27.2,4,0,4,0,0,6,0,0.15,0.00,0.15,0.15,0.15,Matches,2001-2002
148,Philippe Delaye,fr FRA,MF,Rennes,26,1975,18,17,"1,397",15.5,1,2,1,0,0,4,0,0.06,0.13,0.19,0.06,0.19,Matches,2001-2002
149,Delfim,pt POR,MF,Marseille,24,1977,19,14,"1,205",13.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
150,Pascal Delhommeau,fr FRA,DF,Lorient,22,1978,13,12,"1,081",12.0,0,,0,0,0,2,0,0.00,,,0.00,,Matches,2001-2002
151,Pascal Delhommeau,fr FRA,DF,Nantes,22,1978,4,3,255,2.8,0,,0,0,0,0,0,0.00,,,0.00,,Matches,2001-2002
