club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
EA Guingamp,Néstor Fabbri,34,Centre-Back,FC Nantes,?,in,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Lionel Bah,22,Defensive Midfield,EA Guingamp B,-,in,Summer,0,Ligue 1,2002,2002/2003
EA Guingamp,Yohann Rivière,17,Centre-Forward,EA Guingamp B,-,in,Summer,0,Ligue 1,2002,2002/2003
EA Guingamp,Jean-Baptiste Le Bescond,22,Right-Back,EA Guingamp B,-,in,Summer,0,Ligue 1,2002,2002/2003
EA Guingamp,Guillaume Gauclin,21,Goalkeeper,FC Lorient,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
EA Guingamp,Fabrice Pancrate,22,Right Winger,Le Mans UC 72,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Pierre-Emmanuel Bourdeau,27,Centre-Back,Clermont FA,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Gérard Gnanhouan,23,Goalkeeper,FC Sochaux,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Hubert Fournier,34,Centre-Back,FC Rouen 1899,?,out,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Abdelhafid Tasfaout,33,Attacking Midfield,Al-Rayyan SC,?,out,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Morten Nielsen,31,Right-Back,Kalundborg GB,?,out,Summer,NA,Ligue 1,2002,2002/2003
EA Guingamp,Stéphane Guivarc'h,31,Centre-Forward,Retired,-,out,Summer,0,Ligue 1,2002,2002/2003
EA Guingamp,Laurent Guyot,32,Centre-Back,Retired,-,out,Summer,0,Ligue 1,2002,2002/2003
RC Lens,Dagui Bakari,27,Centre-Forward,LOSC Lille,€3.50m,in,Summer,3.5,Ligue 1,2002,2002/2003
RC Lens,Olivier Thomert,22,Left Midfield,Le Mans UC 72,€2.00m,in,Summer,2,Ligue 1,2002,2002/2003
RC Lens,Rigobert Song,26,Centre-Back,West Ham,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,John Utaka,20,Left Winger,Al-Sadd SC,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Rod Fanni,20,Right-Back,FC Martigues,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Martin Ekani,18,Right-Back,Unknown,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Abdoulaye Fayé,24,Centre-Back,Jeanne d'Arc,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Furtado,19,Defensive Midfield,FC Nantes,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Seydou Keita,22,Central Midfield,FC Lorient,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Benoît Assou-Ekotto,18,Left-Back,RC Lens B,-,in,Summer,0,Ligue 1,2002,2002/2003
RC Lens,Mounir Diane,20,Attacking Midfield,RC Lens B,-,in,Summer,0,Ligue 1,2002,2002/2003
RC Lens,Yazid Kaïssi,21,Central Midfield,ES Wasquehal,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
RC Lens,Cyril Rool,27,Left-Back,Monaco,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
RC Lens,Esteban Fuertes,29,Centre-Forward,CD Tenerife,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
RC Lens,Abdelmajid Oulmers,23,midfield,ES Wasquehal,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
RC Lens,Ludovic Delporte,22,Left Winger,Racing Ferrol,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
RC Lens,El-Hadji Diouf,21,Centre-Forward,Liverpool,€15.00m,out,Summer,15,Ligue 1,2002,2002/2003
RC Lens,Franck Queudrue,23,Left-Back,Middlesbrough,€3.75m,out,Summer,3.75,Ligue 1,2002,2002/2003
RC Lens,Radek Bejbl,29,Defensive Midfield,Slavia Prague,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Bruno Rodriguez,29,Centre-Forward,AC Ajaccio,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Bouabid Bouden,20,Centre-Forward,Beauvais,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Bob Cousin,20,Central Midfield,KSK Ronse,?,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Nadir Belhadj,20,Left-Back,FC Gueugnon,?,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Jean-Guy Wallemme,34,Centre-Back,RC Paris,?,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Valérien Ismaël,26,Centre-Back,R. Strasbourg,?,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Cédric Berthelin,25,Goalkeeper,Luton,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Patrick Barul,24,Right-Back,OGC Nice,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
RC Lens,Djimi Traoré,22,Centre-Back,Liverpool,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
FC Nantes,Ariza Makukula,21,Centre-Forward,UD Salamanca,€5.50m,in,Summer,5.5,Ligue 1,2002,2002/2003
FC Nantes,Stéphen Drouin,18,Left-Back,FC Nantes B,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Nantes,Jérémy Toulalan,18,Defensive Midfield,FC Nantes B,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Nantes,Loïc Guillon,20,Centre-Back,FC Nantes B,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Nantes,Grégory Lorenzi,18,Centre-Back,FC Nantes B,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Nantes,Pascal Delhommeau,23,Centre-Back,FC Lorient,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Nantes,Salomon Olembé,21,Left Midfield,Marseille,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Nantes,Wilfried Dalmat,19,Right Winger,Marseille,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Nantes,Salomon Olembé,21,Left Midfield,Marseille,€2.00m,out,Summer,2,Ligue 1,2002,2002/2003
FC Nantes,Vincent Talio,21,Centre-Back,Unknown,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Nantes,Yves Deroff,23,Right-Back,R. Strasbourg,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Nantes,Furtado,19,Defensive Midfield,Lens,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Nantes,Néstor Fabbri,34,Centre-Back,Guingamp,?,out,Summer,NA,Ligue 1,2002,2002/2003
FC Nantes,Charles Devineau,23,Defensive Midfield,Stade Lavallois,?,out,Summer,NA,Ligue 1,2002,2002/2003
FC Nantes,Víctor Bonilla,31,Centre-Forward,Montpellier,?,out,Summer,NA,Ligue 1,2002,2002/2003
FC Nantes,Nicolas Laspalles,30,Right-Back,Lecce,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Nantes,Sébastien Pauvert,24,Goalkeeper,FC Istres,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Nantes,Hassan Ahamada,21,Attacking Midfield,SC Bastia,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
OGC Nice,Everson,26,Defensive Midfield,VfL Osnabrück,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
OGC Nice,Jacques Abardonado,24,Centre-Back,FC Lorient,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
OGC Nice,Serge Dié,24,Defensive Midfield,Avellino,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
