,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
126,Cosmin Contra,ro ROU,"DF,MF",Getafe,32,1975,27,13,"1,450",16.1,2,2,1,1,2,10,0,0.12,0.12,0.25,0.06,0.19,Matches,2008-2009
127,Ferran Corominas,es ESP,"FW,MF",Espanyol,25,1983,26,14,"1,412",15.7,3,0,3,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches,2008-2009
128,Corona,es ESP,MF,Almería,27,1981,30,16,"1,485",16.5,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,2008-2009
130,Enrique Corrales,es ESP,DF,Mallorca,26,1982,23,23,"2,061",22.9,0,1,0,0,0,6,1,0.00,0.04,0.04,0.00,0.04,Matches,2008-2009
131,David Cortés,es ESP,DF,Getafe,28,1979,34,30,"2,631",29.2,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
132,Mario Cotelo,es ESP,MF,Getafe,33,1975,2,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
133,Grégory Coupet,fr FRA,GK,Atlético Madrid,35,1972,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
134,César Cruchaga,es ESP,DF,Osasuna,34,1974,10,9,824,9.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
135,Albert Crusat,es ESP,"FW,MF",Almería,26,1982,30,24,"2,082",23.1,1,5,1,0,0,9,1,0.04,0.22,0.26,0.04,0.26,Matches,2008-2009
136,Ibán Cuadrado,es ESP,DF,Málaga,29,1979,14,14,"1,222",13.6,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
137,Iván Cuéllar,es ESP,GK,Sporting Gijón,24,1984,18,18,"1,606",17.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
138,Pascal Cygan,fr FRA,DF,Villarreal,34,1974,4,3,300,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
139,Dady,cv CPV,FW,Osasuna,26,1981,14,8,706,7.8,3,0,3,0,0,2,0,0.38,0.00,0.38,0.38,0.38,Matches,2008-2009
140,Tom De Mul,be BEL,"FW,MF",Sevilla,22,1986,3,1,65,0.7,1,0,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,Matches,2008-2009
141,Asier del Horno,es ESP,DF,Valencia,27,1981,9,6,563,6.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
142,Manu del Moral,es ESP,FW,Getafe,24,1984,29,22,"1,951",21.7,5,2,3,2,2,4,0,0.23,0.09,0.32,0.14,0.23,Matches,2008-2009
143,Joseba del Olmo,es ESP,MF,Athletic Club,27,1981,10,2,313,3.5,1,0,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,2008-2009
144,Javier del Pino,es ESP,FW,Numancia,28,1980,32,25,"2,164",24.0,4,0,4,0,0,9,0,0.17,0.00,0.17,0.17,0.17,Matches,2008-2009
145,Dimas Delgado,es ESP,MF,Numancia,25,1983,20,18,"1,484",16.5,0,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,2008-2009
146,Ludovic Delporte,fr FRA,MF,Osasuna,28,1980,15,1,384,4.3,0,1,0,0,0,5,0,0.00,0.23,0.23,0.00,0.23,Matches,2008-2009
147,Rafael van der Vaart,nl NED,MF,Real Madrid,25,1983,32,15,"1,505",16.7,5,4,5,0,0,8,0,0.30,0.24,0.54,0.30,0.54,Matches,2008-2009
148,Lassana Diarra,fr FRA,MF,Real Madrid,23,1985,19,19,"1,673",18.6,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches,2008-2009
149,Mahamadou Diarra,ml MLI,MF,Real Madrid,27,1981,9,7,614,6.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
150,Ayoze Díaz Díaz,es ESP,"DF,MF",Mallorca,26,1982,15,15,"1,350",15.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
