club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Parma FC,Cesare Bovo,21,Centre-Back,AS Roma,Loan fee:€100Th.,in,Summer,0.1,Serie A,2004,2004/2005
Parma FC,Gianluca Berti,37,Goalkeeper,US Palermo,free transfer,in,Summer,NA,Serie A,2004,2004/2005
Parma FC,Fábio Simplício,24,Central Midfield,São Paulo,free transfer,in,Summer,NA,Serie A,2004,2004/2005
Parma FC,Vince Grella,24,Central Midfield,Empoli,free transfer,in,Summer,NA,Serie A,2004,2004/2005
Parma FC,Andrea Pisanu,22,Right Midfield,Hellas Verona,?,in,Summer,NA,Serie A,2004,2004/2005
Parma FC,Damiano Ferronetti,19,Centre-Back,AS Roma,?,in,Summer,NA,Serie A,2004,2004/2005
Parma FC,Mario Rebecchi,20,Central Midfield,Inter,?,in,Summer,NA,Serie A,2004,2004/2005
Parma FC,Alberto Galuppo,18,Centre-Back,Parma U19,-,in,Summer,0,Serie A,2004,2004/2005
Parma FC,Daniele Dessena,17,Central Midfield,Parma U19,-,in,Summer,0,Serie A,2004,2004/2005
Parma FC,Davide Furlan,18,Defensive Midfield,Parma U19,-,in,Summer,0,Serie A,2004,2004/2005
Parma FC,Matteo Brighi,23,Central Midfield,Juventus,€11.50m,out,Summer,11.5,Serie A,2004,2004/2005
Parma FC,Matteo Ferrari,24,Centre-Back,AS Roma,€7.00m,out,Summer,7,Serie A,2004,2004/2005
Parma FC,Simone Barone,26,Central Midfield,US Palermo,€5.00m,out,Summer,5,Serie A,2004,2004/2005
Parma FC,Marcello Castellini,31,Centre-Back,Sampdoria,€1.20m,out,Summer,1.2,Serie A,2004,2004/2005
Parma FC,Hidetoshi Nakata,27,Attacking Midfield,Fiorentina,free transfer,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Savo Milosevic,30,Centre-Forward,CA Osasuna,free transfer,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Emiliano Moretti,23,Centre-Back,Valencia,free transfer,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Júnior,31,Left-Back,São Paulo,free transfer,out,Summer,NA,Serie A,2004,2004/2005
